,Nom scientifique,Nom français,Nom arabe,Noms vernaculaires,Origine géographique,Mois de débourrement,Période de croissance végétative,Période de floraison,Période de fructification,Période de maturité des fruits,Période de chute des feuilles,Famille botanique,Type de plante,Hauteur moyenne ou maximale,Type de feuilles,Forme des feuilles,Bord des feuilles,Disposition des feuilles,Couleur des fleurs,Structure florale,Type de fruit,Type de racine,intérêts,score
espèce16,Ficus retusa,Figuier à petites feuilles,,,"['Asie du Sud-Est', 'Malaisie', 'Indonésie']",,Printemps à été,Été,Automne,,Hiver,Moraceae,Arbre,Jusqu'à 15 mètres,Persistantes,Elliptiques,Entier,Alternes,Inconspicues,Inflorescences en sycones,Sycone,Racines aériennes,"[""- Ornemental: Utilisé comme plante d'intérieur et pour le bonsaï en raison de son feuillage dense et de sa capacité à être taillé."", ""- Écologique: Fournit de l'ombre et contribue à la biodiversité urbaine.""]",
espèce17,Washingtonia filifera,Palmier de Californie,,,"['Californie', 'Arizona', 'Mexique']",,Printemps à été,Printemps,Été,Fin de l'été à début de l'automne,,Arecaceae,Arbre,15-20 mètres,Persistantes,Palmées,Entier,Rosette,Blanc crème,Inflorescence en panicule,Drupe,Fasciculée,"['- Ornemental: Utilisé dans les jardins et les parcs pour son aspect tropical et sa résistance à la sécheresse.', '- Écologique: Fournit un habitat pour la faune locale, notamment les oiseaux et les insectes.']",
espèce18,Citrus maxima,Pamplemoussier,بوملي,,"['Asie du Sud-Est', 'Malaisie', 'Indonésie']",Mars à avril,Printemps à été,Avril à juin,Juillet à septembre,Octobre à décembre,Janvier à février,Rutaceae,Arbre fruitier,5 à 15 mètres,Persistantes,Ovale à elliptique,Entier,Alternée,Blanc,Fleurs solitaires ou en petites grappes,Agrume,Pivotante,"['- Culinaire: Le pamplemousse est consommé frais, en jus ou utilisé dans des salades et desserts.', '- Médicinal: Utilisé dans la médecine traditionnelle pour ses propriétés antioxydantes et digestives.', '- Ornemental: Cultivé dans les jardins pour son feuillage persistant et ses grands fruits décoratifs.']",
espèce19,Gazania rigens,Gazanie,,,"['Afrique du Sud', 'Mozambique']",Mars,Mars à octobre,Mai à septembre,Juin à octobre,Juillet à novembre,Novembre à février,Asteraceae,Plante vivace,15 à 30 cm,Persistantes,Lancéolées,Entier,Rosette basale,"Jaune, orange, rouge, rose",Capitule,Akène,Fasciculée,"['- Ornemental: Utilisée pour ses fleurs colorées dans les jardins et les bordures.', '- Écologique: Attire les pollinisateurs tels que les abeilles et les papillons.']",
espèce20,Carissa macrocarpa,Carisse à gros fruits,,,['Afrique du Sud'],Mars à Avril,Printemps à été,Printemps à été,Été à automne,Automne,,Apocynaceae,Arbuste,1 à 2 mètres,Persistantes,Ovale,Entier,Opposé,Blanc,Tubulaire,Baie,Pivotante,"['- Ornemental: Utilisé dans les jardins pour ses fleurs parfumées et ses fruits décoratifs.', '- Culinaire: Les fruits sont comestibles et peuvent être utilisés pour faire des confitures et des gelées.']",
espèce21,Yucca gigantea,Yucca géant,,,"['Mexique', 'Amérique centrale']",,Printemps à été,Été,,,,Asparagaceae,Arbuste,Jusqu'à 10 mètres,Persistantes,Linéaire,Entier,Rosette,Blanc,Inflorescence en panicule,Capsule,Racine pivotante,"['- Ornemental: Utilisé dans les jardins et les aménagements paysagers pour son aspect architectural et sa résistance à la sécheresse.', '- Écologique: Peut être utilisé pour la stabilisation des sols dans les régions arides.']",
espèce22,Brachychiton acerifolius,Brachychiton à feuilles d'érable,,,['Australie'],Septembre à octobre,Printemps à été,Octobre à décembre,Décembre à février,Février à mars,Hiver,Malvaceae,Arbre,10 à 40 mètres,Persistantes,Palmées,Lobé,Alternes,Rouge vif,En cloche,Capsule,Pivotante,"['- Ornemental: Utilisé dans les parcs et jardins pour sa floraison spectaculaire et sa tolérance à la sécheresse.', ""- Écologique: Fournit de l'ombre et un habitat pour la faune locale.""]",
espèce23,Melaleuca viminalis,Melaleuca à feuilles de saule,,,['Australie'],Printemps,Printemps à été,Printemps à été,Été à automne,Automne,Hiver,Myrtaceae,Arbre,Jusqu'à 10 mètres,Persistantes,Linéaires à lancéolées,Entier,Alternes,Rouge vif,Épis cylindriques,Capsule ligneuse,Superficielle,"['- Ornemental: Utilisé dans les jardins pour ses fleurs rouges spectaculaires et sa capacité à attirer les oiseaux.', '- Écologique: Planté pour la stabilisation des sols et la restauration des habitats naturels.']",
espèce24,Washingtonia robusta,Palmier du Mexique,,,"['Mexique', 'Sud-ouest des États-Unis']",,Printemps à été,Printemps,Été,Fin été à début automne,Automne,Arecaceae,Arbre,Jusqu'à 30 mètres,Persistantes,Palmées,Entier,En couronne,Blanc crème,Inflorescence en panicule,Drupe,Fasciculée,['- Ornemental: Utilisé dans les jardins et les parcs pour son aspect tropical et sa grande taille.'],
espèce25,Bonellia macrocarpa,Bonellia à gros fruits,,,"['Amérique centrale', 'Amérique du Sud']",,,Printemps,Été,,,Theophrastaceae,Arbuste,Jusqu'à 5 mètres,Persistantes,Elliptique,Entier,Opposée,Blanc,Fleurs solitaires,Baie,Pivotante,"['- Ornemental: Utilisé dans les jardins pour ses fleurs attrayantes et son feuillage persistant.', '- Écologique: Fournit de la nourriture pour la faune locale, notamment les oiseaux.']",
espèce26,Jasminum mesnyi,Jasmin de Mesny,,,"['Chine', 'Vietnam']",Mars,Avril à Septembre,Mars à Mai,Juin à Août,Août à Septembre,Novembre à Décembre,Oleaceae,Arbuste,1 à 3 mètres,Persistantes,Ovale à lancéolée,Entier,Opposée,Jaune,Fleurs solitaires ou en petits groupes,Baie,Fasciculée,"['- Ornemental: Utilisé pour ses fleurs jaunes vives et sa capacité à couvrir les murs et les treillis.', '- Écologique: Attire les pollinisateurs tels que les abeilles et les papillons.']",
espèce27,Myoporum tenuifolium,Myoporum à feuilles étroites,,,"['Australie', 'Nouvelle-Zélande']",,,Printemps,,,,Scrophulariaceae,Arbuste,Jusqu'à 3 mètres,Persistantes,Linéaires à lancéolées,Entier,Alternes,Blanc,Petites fleurs en grappes,Drupe,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour ses feuilles persistantes et sa floraison attrayante.', '- Écologique: Peut être utilisé pour la stabilisation des sols dans les régions côtières.']",
espèce28,Brachychiton populneus,Brachychiton à feuilles de peuplier,,,['Australie'],Printemps,Printemps à été,Printemps à été,Été à automne,Automne,Hiver,Malvaceae,Arbre,10 à 20 mètres,Persistantes,Cordée à ovale,Entier,Alternes,Blanc crème à rose,Campanulée,Follicule,Pivotante,"['- Ornemental: Utilisé dans les parcs et jardins pour son feuillage persistant et sa résistance à la sécheresse.', ""- Écologique: Planté pour la réhabilitation des sols et la lutte contre l'érosion.""]",
espèce29,Washingtonia filifera,Palmier de Californie,,,"['Californie', 'Arizona', 'Mexique']",,Printemps à été,Printemps,Été,Fin été à début automne,,Arecaceae,Arbre,15-20 mètres,Persistantes,Palmées,Entier,Rosette,Blanc crème,Inflorescence en panicule,Drupe,Fasciculée,"['- Ornemental: Utilisé dans les jardins et parcs pour son aspect tropical et sa résistance à la sécheresse.', '- Écologique: Fournit un habitat pour la faune locale, notamment les oiseaux et les insectes.']",0.30956
espèce30,Cestrum parqui,Chèvrefeuille du Chili,,,"['Chili', 'Argentine']",Mars,Avril à Septembre,Juin à Août,Août à Octobre,Septembre à Novembre,Novembre à Décembre,Solanaceae,Arbuste,2 à 3 mètres,Persistantes,Lancéolées,Entier,Alternes,Jaune verdâtre,Tubulaire,Baie,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour ses fleurs parfumées et sa capacité à former des haies.', '- Médicinal: Utilisé traditionnellement pour ses propriétés analgésiques et anti-inflammatoires, bien que la plante soit toxique.']",0.74726
espèce31,Ficus carica,Figuier commun,تين,['Karmous'],"['Asie occidentale', 'Méditerranée']",Mars à avril,Avril à septembre,Mai à juin,Juillet à septembre,Août à septembre,Octobre à novembre,Moraceae,Arbre fruitier,3 à 10 mètres,Caduques,Palmatilobées,Dentelée,Alterne,Inconspicue (fleurs à l'intérieur du sycone),Inflorescence en sycone,Sycone (figue),Pivotante avec racines latérales,"['- Culinaire: Les figues sont consommées fraîches ou séchées et utilisées dans de nombreuses recettes sucrées et salées.', '- Médicinal: Utilisé traditionnellement pour ses propriétés laxatives et digestives.', '- Ornemental: Cultivé pour son feuillage décoratif et son port étalé.']",0.87738
espèce32,Ligustrum japonicum,Troène du Japon,,,"['Japon', 'Corée', 'Chine']",Mars à avril,Avril à septembre,Mai à juin,Juillet à septembre,Septembre à octobre,Novembre à décembre,Oleaceae,Arbuste,2 à 4 mètres,Persistantes,Ovale,Entier,Opposé,Blanc,Panicules,Drupe,Fasciculée,"[""- Ornemental: Utilisé pour la création de haies et d'écrans de verdure en raison de son feuillage persistant et de sa croissance dense."", '- Écologique: Fournit un habitat et une source de nourriture pour les oiseaux et les insectes.']",0.34686
espèce33,Euonymus fortunei,Fusain de Fortune,,,"['Chine', 'Corée', 'Japon']",Mars à avril,Avril à septembre,Mai à juin,Août à octobre,Octobre à novembre,Persistant,Celastraceae,Arbuste persistant,0.5 à 2 mètres,Persistantes,Ovale à elliptique,Denté,Opposé,Blanc verdâtre,Petites fleurs en cymes,Capsule,Racinaire,"['- Ornemental: Utilisé pour la couverture du sol, les haies et les bordures en raison de son feuillage persistant et de sa capacité à grimper.', '- Écologique: Fournit un habitat pour la faune et contribue à la stabilisation du sol.']",0.19658
espèce34,Syagrus romanzoffiana,Palmier de la reine,,,"['Brésil', 'Argentine', 'Paraguay', 'Uruguay']",,Printemps à été,Été,Automne,Hiver,,Arecaceae,Arbre,Jusqu'à 15 mètres,Persistantes,Pinnées,Entier,Rosette,Blanc crème,Inflorescence en panicule,Drupe,Fasciculée,"['- Ornemental: Utilisé dans les jardins et parcs pour son aspect esthétique et sa résistance aux conditions urbaines.', '- Écologique: Fournit de la nourriture pour la faune locale, notamment les oiseaux et les petits mammifères.']",0.83616
espèce35,Rosa × odorata,Rosier odorant,,,['Chine'],Mars à avril,Avril à septembre,Mai à octobre,Juillet à novembre,Septembre à novembre,Novembre à décembre,Rosaceae,Arbuste,1 à 2 mètres,Caduques,Ovale,Dentelé,Alternée,"Rose, blanc, jaune",Fleurs simples à doubles,Cynorrhodon,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour ses fleurs parfumées et sa longue période de floraison.', '- Médicinal: Les pétales et les cynorrhodons sont utilisés en herboristerie pour leurs propriétés astringentes et anti-inflammatoires.']",0.74116
espèce36,Rosa × odorata,Rosier odorant,,,['Chine'],Mars à avril,Avril à septembre,Mai à octobre,Juillet à novembre,Septembre à novembre,Novembre à décembre,Rosaceae,Arbuste,1 à 2 mètres,Persistantes ou semi-persistantes,Ovale à elliptique,Dentelé,Alternée,"Rose, blanc, jaune",Fleurs simples à doubles,Cynorhodon,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour ses fleurs parfumées et sa longue période de floraison.', '- Médicinal: Les pétales et les cynorhodons sont utilisés en herboristerie pour leurs propriétés astringentes et vitaminées.']",0.42409
espèce37,Yucca gigantea,Yucca géant,,,"['Amérique centrale', 'Mexique']",,Printemps à été,Été,,,,Asparagaceae,Arbuste,Jusqu'à 10 mètres,Persistantes,Linéaire,Entier,Rosette,Blanc,Inflorescence en panicule,Capsule,Racine pivotante,"['- Ornemental: Utilisé dans les jardins et les aménagements paysagers pour son aspect architectural et sa résistance à la sécheresse.', '- Écologique: Peut être utilisé pour la stabilisation des sols dans les régions arides.']",0.50991
espèce38,Platycladus orientalis,Thuya de Chine,صنوبر شرقي,,"['Chine', 'Corée', 'Japon', 'Russie (Extrême-Orient)']",Mars à avril,Avril à septembre,Avril à mai,Août à octobre,Octobre à novembre,,Cupressaceae,Conifère,10 à 20 mètres,Persistantes,Écailleuses,Entier,Opposé,Jaune,Cônes mâles et femelles séparés,Cône,Pivotante,"['- Ornemental: Utilisé dans les jardins et les parcs pour sa forme conique et son feuillage persistant.', '- Médicinal: Utilisé dans la médecine traditionnelle chinoise pour traiter divers maux.']",0.8077
espèce39,Cestrum nocturnum,Jasmin de nuit,اليسمين الليلي,,"['Amérique centrale', 'Caraïbes']",Mars à avril,Avril à septembre,Juin à octobre,Août à novembre,Septembre à décembre,Novembre à décembre,Solanaceae,Arbuste,1 à 4 mètres,Persistantes,Lancéolées,Entier,Opposées,Blanc crème,Tubulaire,Baie,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour son parfum intense et agréable, surtout la nuit.', '- Médicinal: Utilisé dans certaines médecines traditionnelles pour ses propriétés sédatives et antispasmodiques.']",0.60638
espèce40,Citrus × aurantium,Oranger amer,النارنج,['الزنبوع'],"['Asie du Sud-Est', 'Inde', 'Vietnam']",Mars à avril,Avril à septembre,Avril à mai,Mai à octobre,Novembre à janvier,Décembre à février,Rutaceae,Arbre fruitier,5 à 10 mètres,Persistantes,Ovale à elliptique,Dentelé,Alternée,Blanc,"Fleurs hermaphrodites, solitaires ou en petites grappes",Hespéride,Pivotante,"['- Médicinal: Utilisé pour ses propriétés digestives et calmantes, notamment en infusion.', '- Culinaire: Les zestes sont utilisés pour aromatiser les plats et les boissons.', '- Ornemental: Cultivé pour ses fleurs parfumées et ses fruits décoratifs.', ""- Industriel: L'huile essentielle est extraite pour la parfumerie et la cosmétique.""]",0.77084
espèce41,Pelargonium zonale,Géranium zonal,,,['Afrique du Sud'],Mars à avril,Avril à septembre,Mai à octobre,Juin à novembre,Juillet à novembre,Novembre à décembre,Geraniaceae,Plante herbacée vivace,30 à 60 cm,Simple,Ronde à réniforme,Lobé,Alternée,"Rose, rouge, blanc, violet",Inflorescence en ombelle,Capsule,Fasciculée,"[""- Ornemental: Utilisé pour la décoration des jardins et des balcons en raison de ses fleurs colorées et de sa facilité d'entretien."", '- Médicinal: Utilisé en médecine traditionnelle pour ses propriétés antiseptiques et anti-inflammatoires.']",0.42552
espèce42,Cotyledon orbiculata,Cotylédon orbiculé,,,['Afrique du Sud'],,Printemps à été,Été,,,,Crassulaceae,Succulente,"Jusqu'à 1,5 mètre",Persistantes,Orbiculaires à elliptiques,Lisse,Opposée,Orange à rouge,Tubulaire,Capsule,Fasciculée,"[""- Ornemental: Utilisée dans les jardins de rocaille et comme plante d'intérieur pour sa beauté et sa résistance à la sécheresse."", '- Médicinal: Utilisée en médecine traditionnelle pour traiter les verrues et les infections cutanées.']",0.49999
espèce43,Euphorbia cooperi,Euphorbe de Cooper,,,"['Afrique du Sud', 'Zimbabwe', 'Mozambique']",,,Printemps,,,,Euphorbiaceae,Succulente,Jusqu'à 6 mètres,Caduques,Lancéolées,Entier,Alternes,Jaune,Inflorescence en cyathes,Capsule,Pivotante,"['- Ornemental: Utilisée dans les jardins pour son apparence sculpturale et sa résistance à la sécheresse.', '- Médicinal: Utilisée en médecine traditionnelle pour traiter diverses affections, bien que la sève soit toxique.']",0.81319
espèce44,Punica granatum,Grenadier,رمان,['Rumman'],"['Iran', 'Afghanistan', 'Inde', 'Méditerranée']",Mars à avril,Avril à septembre,Mai à juin,Juillet à octobre,Septembre à octobre,Novembre à décembre,Lythraceae,Arbuste ou petit arbre,3 à 5 mètres,Caduques,Lancéolées,Entier,Opposé ou subopposé,Rouge vif,Fleurs solitaires ou en grappes,Baie (balauste),Pivotante,"['- Culinaire: Les graines de grenade sont consommées fraîches ou utilisées pour produire du jus, des sirops et des sauces.', '- Médicinal: Utilisé dans la médecine traditionnelle pour ses propriétés antioxydantes et anti-inflammatoires.', '- Ornemental: Cultivé pour ses fleurs décoratives et ses fruits attrayants.']",0.21874
espèce45,Trichocereus macrogonus,Cactus San Pedro,,,"['Pérou', 'Bolivie']",,Printemps à été,Été,,,,Cactaceae,Cactus,Jusqu'à 6 mètres,Aiguillons,,,,Blanc,"Fleurs nocturnes, grandes et parfumées",Baie,Racines fibreuses,"['- Médicinal: Utilisé traditionnellement pour ses propriétés psychoactives et dans des rituels chamaniques.', '- Ornemental: Cultivé pour sa beauté et sa taille imposante dans les jardins de cactus.']",0.3623
espèce46,Kroenleinia grusonii,Coussin de belle-mère,,,['Mexique'],,Printemps à été,Printemps,,,,Cactaceae,Cactus,Jusqu'à 1 mètre,Aiguillons,,,,Jaune,Fleurs solitaires,Baie,Racines fibreuses,['- Ornemental: Utilisé dans les jardins de cactus et les aménagements paysagers pour sa forme sphérique et ses épines dorées.'],0.48998
espèce47,Musa × paradisiaca,Banane plantain,موز,,"['Asie du Sud-Est', 'Inde', ""Afrique de l'Ouest""]",Mars à avril,Toute l'année dans les climats tropicaux,Toute l'année dans les climats tropicaux,Toute l'année dans les climats tropicaux,9 à 12 mois après la floraison,"Non applicable, plante persistante",Musaceae,Herbacée vivace,3 à 7 mètres,Persistantes,Allongée et large,Entier,Spirale,Jaune à violet,Inflorescence en épi,Baie allongée,Rhizome,"['- Culinaire: Utilisée comme aliment de base dans de nombreuses cuisines tropicales, souvent cuite avant consommation.', '- Industriel: Les fibres de la plante sont utilisées pour fabriquer des textiles et des cordages.', '- Médicinal: Utilisée dans certaines médecines traditionnelles pour ses propriétés digestives et anti-inflammatoires.']",0.73671
espèce48,Rhaphiolepis bibas,Néflier du Japon,,,"['Chine', 'Japon']",Mars,Avril à Septembre,Octobre à Novembre,Janvier à Mars,Mars à Avril,Novembre à Décembre,Rosaceae,Arbuste,3 à 5 mètres,Persistantes,Elliptiques,Dentelées,Alternes,Blanc,Petites fleurs en grappes,Drupe,Pivotante,"['- Ornemental: Utilisé dans les jardins pour son feuillage persistant et ses fleurs parfumées.', '- Culinaire: Les fruits sont comestibles et utilisés dans les confitures et desserts.']",0.55345
espèce49,Cydonia oblonga,Cognassier,سفرجل,['سفرجل'],"['Asie du Sud-Ouest', 'Caucase', 'Iran']",Mars à avril,Avril à septembre,Mai à juin,Juillet à octobre,Septembre à octobre,Novembre,Rosaceae,Arbre fruitier,3 à 5 mètres,Caduques,Ovale,Dentelé,Alterne,Blanc à rose pâle,Fleurs solitaires,Pomme ou poire,Pivotante,"['- Culinaire: Les fruits du cognassier sont utilisés pour faire des gelées, des confitures et des pâtes de fruits.', '- Médicinal: Traditionnellement utilisé pour ses propriétés astringentes et anti-inflammatoires.', '- Ornemental: Cultivé pour ses belles fleurs et son feuillage attrayant.']",0.86173
espèce50,Morus nigra,Mûrier noir,توت أسود,,"['Asie occidentale', 'Iran', 'Caucase']",Mars à avril,Avril à septembre,Mai à juin,Juin à août,Juillet à septembre,Octobre à novembre,Moraceae,Arbre fruitier,10 à 15 mètres,Caduques,Cordée,Dentée,Alterne,Vert jaunâtre,Inflorescences en chatons,"Multiple, drupes",Pivotante,"['- Culinaire: Les fruits du mûrier noir sont comestibles et utilisés pour faire des confitures, des tartes et des boissons.', '- Médicinal: Traditionnellement utilisé pour ses propriétés antioxydantes et anti-inflammatoires.', '- Ornemental: Planté pour son feuillage dense et ses fruits décoratifs.']",0.50528
espèce51,Ficus microcarpa,Figuier à petits fruits,التين الصغير,,"['Asie du Sud-Est', 'Australie', 'Inde', 'Chine']",Mars à Avril,Avril à Septembre,Mai à Juillet,Juillet à Septembre,Août à Octobre,Novembre à Décembre,Moraceae,Arbre,Jusqu'à 30 mètres,Persistantes,Elliptiques,Entier,Alterne,Inconspicue,Inflorescence en sycone,Sycone,Racines aériennes et adventives,"[""- Ornemental: Utilisé comme plante d'intérieur et pour l'aménagement paysager en raison de son feuillage dense et de sa capacité à être taillé en bonsaï."", ""- Écologique: Fournit un habitat pour diverses espèces d'oiseaux et d'insectes.""]",0.35666
espèce52,Agave salmiana,Agave de Salm,,,['Mexique'],,Printemps à été,Été,Fin été à début automne,,,Asparagaceae,Succulente,"Jusqu'à 1,5 à 2 mètres",Persistantes,Lancéolées,Denticuleux avec des épines,Rosette basale,Jaune verdâtre,Inflorescence en panicule,Capsule,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour sa forme architecturale et sa résistance à la sécheresse.', ""- Industriel: Source de fibres et de sirop d'agave.""]",0.15752
