,Nom scientifique,Nom français,Code,Nom arabe,Noms vernaculaires,Origine géographique,Mois de débourrement,Période de croissance végétative,Période de floraison,Période de fructification,Période de maturité des fruits,Période de chute des feuilles,Type de feuillage,Division,Classe,Ordre,Famille,Genre,Type de plante,Hauteur moyenne ou maximale,Type de feuilles,Forme des feuilles,Bord des feuilles,Disposition des feuilles,Couleur des fleurs,Structure florale,Type de fruit,Type de racine,intérêts,Url carte de répartition,place
espèce18,Citrus maxima,Pamplemoussier,Ang_Mag_Rut_Cit,بوملي,,"['Asie du Sud-Est', 'Malaisie', 'Indonésie']",Mars à avril,Printemps à été,Avril à mai,Été à automne,Octobre à décembre,,Persistant,Angiosperme,Magnoliopsida,Sapindales,Rutaceae,Citrus,Arbre,5 à 15 mètres,Simple,Ovale à elliptique,Entier,Alternée,Blanc,Fleurs solitaires ou en petites grappes,Hespéride,Pivotante,"['- Culinaire: Le fruit est consommé frais ou utilisé dans les salades et desserts.', '- Médicinal: Utilisé dans la médecine traditionnelle pour ses propriétés digestives et antioxydantes.', '- Ornemental: Cultivé pour son feuillage persistant et ses grands fruits décoratifs.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30075266-2,Photo prise à l'ENS le 19/03/2025
espèce19,Gazania rigens,Gazanie,Ang_Mag_Ast_Gaz,,,['Afrique du Sud'],Mars,Printemps à été,Printemps à automne,Été à automne,Automne,,Persistant,Angiosperme,Magnoliopsida,Asterales,Asteraceae,Gazania,Herbacée,15-30 cm,Simple,Lancéolée,Entier,Rosette basale,"Jaune, orange, rouge",Capitule,Akène,Pivotante,"['- Ornemental: Utilisée pour ses fleurs colorées dans les jardins et les massifs.', '- Écologique: Attire les pollinisateurs tels que les abeilles et les papillons.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:208720-1,Photo prise à l'ENS le 19/03/2025
espèce20,Carissa macrocarpa,Carisse à gros fruits,Ang_Mag_Apo_Car,,,['Afrique du Sud'],Mars à avril,Printemps à été,Printemps à été,Été à automne,Automne,,Persistant,Angiosperme,Magnoliopsida,Gentianales,Apocynaceae,Carissa,Arbuste,1 à 2 mètres,Simple,Ovale,Entier,Opposée,Blanc,Tubulaire,Baie,Pivotante,"['- Ornemental: Utilisé pour ses fleurs parfumées et ses fruits décoratifs dans les jardins.', '- Culinaire: Les fruits sont comestibles et peuvent être utilisés pour faire des confitures et des gelées.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77727-1,Photo prise à l'ENS le 19/03/2025
espèce21,Yucca gigantea,Yucca géant,Ang_Lil_Asp_Yuc,,,"['Mexique', 'Amérique centrale']",,Printemps à été,Été,,,,Persistant,Angiosperme,Liliopsida,Asparagales,Asparagaceae,Yucca,Arbre,Jusqu'à 10 mètres,Simple,Lancéolée,Entier,Rosette,Blanc,Inflorescence en panicule,Capsule,Fasciculée,"['- Ornemental: Utilisé dans les jardins et les aménagements paysagers pour son apparence exotique et sa résistance à la sécheresse.', '- Écologique: Peut être utilisé pour la stabilisation des sols dans les régions arides.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:543700-1,Photo prise à l'ENS le 19/03/2025
espèce22,Brachychiton acerifolius,Brachychiton à feuilles d'érable,Ang_Mag_Mal_Bra,,,['Australie'],Septembre à Novembre,Printemps à été,Octobre à Décembre,Décembre à Février,Février à Avril,"Variable, souvent en hiver",Caduc,Angiosperme,Magnoliopsida,Malvales,Malvaceae,Brachychiton,Arbre,10 à 40 mètres,Simple,Palmé,Lobé,Alternée,Rouge vif,Fleurs en cloche,Capsule,Pivotante,"['- Ornemental: Utilisé dans les jardins et parcs pour ses fleurs spectaculaires et son feuillage attrayant.', ""- Écologique: Fournit de l'habitat et de la nourriture pour la faune locale, notamment les oiseaux et les insectes.""]",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:822254-1,Photo prise à l'ENS le 19/03/2025
espèce23,Callistemon citrinus,Rince-bouteilles citronné,Ang_Mag_Myr_Cal,,,['Australie'],Mars à avril,Printemps à été,Printemps à été,Été à automne,Automne,,Persistant,Angiosperme,Magnoliopsida,Myrtales,Myrtaceae,Callistemon,Arbuste,2 à 4 mètres,Simple,Lancéolée,Entier,Alterne,Rouge,Épis cylindriques,Capsule,Fasciculée,"['- Ornemental: Utilisé pour ses fleurs spectaculaires en forme de brosse à bouteille, souvent planté dans les jardins et parcs.', '- Écologique: Attire les pollinisateurs tels que les abeilles et les oiseaux.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:591369-1,Photo prise à l'ENS le 19/03/2025
espèce24,Washingtonia robusta,Palmier de Washington,Ang_Lil_Are_Was,,,"['Mexique', 'Sud-ouest des États-Unis']",,Printemps à été,Printemps,Été,Fin été à début automne,Persistant,Persistant,Angiosperme,Liliopsida,Arecales,Arecaceae,Washingtonia,Arbre,Jusqu'à 30 mètres,Palmé,Palmé,Entier,Rosette,Blanc crème,Inflorescence en panicule,Drupe,Fasciculé,"['- Ornemental: Utilisé dans les jardins et les parcs pour son aspect esthétique et sa grande taille.', ""- Écologique: Fournit un habitat pour certaines espèces d'oiseaux et d'insectes.""]",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:670278-1,Photo prise à l'ENS le 19/03/2025
espèce25,Bonellia macrocarpa,Bonellia à gros fruits,Ang_Eud_Pri_Bon,,,"['Amérique centrale', 'Amérique du Sud']",,,Printemps,Été,,,Persistant,Angiosperme,Eudicots,Ericales,Primulaceae,Bonellia,Arbuste,Jusqu'à 5 mètres,Simple,Elliptique,Entier,Opposé,Blanc,Actinomorphe,Baie,Pivotante,"['- Ornemental: Utilisé dans les jardins pour son feuillage persistant et ses fleurs blanches attrayantes.', '- Écologique: Fournit de la nourriture pour la faune locale, notamment les oiseaux qui consomment ses fruits.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60430438-2,Photo prise à l'ENS le 19/03/2025
espèce26,Jasminum mesnyi,Jasmin de Mesny,Ang_Mag_Ole_Jas,,,"['Chine', 'Vietnam']",Mars,Printemps à été,Printemps,Été,Fin été,,Persistant,Angiosperme,Magnoliopsida,Lamiales,Oleaceae,Jasminum,Arbuste,1 à 3 mètres,Simple,Ovale,Entier,Opposée,Jaune,Tubulaire,Baie,Fasciculée,['- Ornemental: Utilisé pour ses fleurs jaunes décoratives dans les jardins et les parcs.'],https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:609624-1,Photo prise à l'ENS le 19/03/2025
espèce27,Myoporum tenuifolium,Myoporum à feuilles étroites,Ang_Mag_Scr_Myo,,,"['Australie', 'Nouvelle-Zélande']",,,Printemps,,,,Persistant,Angiosperme,Magnoliopsida,Lamiales,Scrophulariaceae,Myoporum,Arbuste,1 à 3 mètres,Simple,Lancéolée,Entier,Alterne,Blanc,Tubulaire,Drupe,Fasciculée,['- Ornemental: Utilisé dans les jardins pour ses feuilles persistantes et sa floraison attrayante.'],https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:585324-1,Photo prise à l'ENS le 19/03/2025
espèce28,Brachychiton populneus,Brachychiton à feuilles de peuplier,Ang_Mag_Mal_Bra,,,['Australie'],Mars à avril,Printemps à été,Printemps,Été à automne,Automne,Persistant,Persistant,Angiosperme,Magnoliopsida,Malvales,Malvaceae,Brachychiton,Arbre,10 à 20 mètres,Simple,Cordée à lancéolée,Entier,Alternée,Blanc crème à rose,Campanulée,Follicule,Pivotante,"['- Ornemental: Utilisé dans les jardins et parcs pour son feuillage persistant et sa résistance à la sécheresse.', '- Écologique: Utilisé pour la reforestation et la stabilisation des sols dans les régions arides.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:822268-1,Photo prise à l'ENS le 19/03/2025
espèce29,Washingtonia filifera,Palmier de Californie,Ang_Lil_Are_Was,,,"['Californie', 'Arizona', 'Mexique']",,Printemps à été,Printemps,Été,Fin été à début automne,,Persistant,Angiosperme,Liliopsida,Arecales,Arecaceae,Washingtonia,Arbre,15-20 mètres,Palmées,En éventail,Entier,Rosette,Blanc crème,Inflorescence en panicule,Drupe,Fasciculée,['- Ornemental: Utilisé dans les jardins et les parcs pour son aspect tropical et sa résistance à la sécheresse.'],https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:267788-2,Photo prise à l'ENS le 19/03/2025
espèce30,Cestrum parqui,Chèvrefeuille du Chili,Ang_Mag_Sol_Ces,,,"['Chili', 'Argentine', 'Pérou']",Mars,Avril à Septembre,Juin à Août,Août à Octobre,Septembre à Novembre,Novembre à Décembre,Persistant,Angiosperme,Magnoliopsida,Solanales,Solanaceae,Cestrum,Arbuste,2 à 3 mètres,Simple,Lancéolée,Entier,Opposé,Jaune verdâtre,Tubulaire,Baie,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour ses fleurs parfumées et son feuillage persistant.', '- Médicinal: Utilisé traditionnellement pour ses propriétés analgésiques et anti-inflammatoires, bien que toxique.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30046363-2,Photo prise à l'ENS le 19/03/2025
espèce31,Ficus carica,Figuier commun,Ang_Mag_Mor_Fic,تين,['Karmous'],"['Asie occidentale', 'Méditerranée']",Mars à avril,Avril à septembre,Mai à juin,Juillet à septembre,Août à octobre,Novembre à décembre,Caduc,Angiosperme,Magnoliopsida,Rosales,Moraceae,Ficus,Arbre,3 à 10 mètres,Simple,Lobée,Dentée,Alterne,Inconspicue (fleurs à l'intérieur du sycone),Inflorescence en sycone,Sycone (figue),Pivotante avec racines latérales,"['- Culinaire: Les figues sont consommées fraîches ou séchées et utilisées dans de nombreuses recettes sucrées et salées.', '- Médicinal: Utilisé traditionnellement pour ses propriétés laxatives et digestives.', '- Ornemental: Cultivé pour son feuillage décoratif et ses fruits attrayants.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:327905-2,Photo prise à l'ENS le 19/03/2025
espèce32,Ligustrum japonicum,Troène du Japon,Ang_Mag_Ole_Lig,,,"['Japon', 'Corée', 'Chine']",Mars à avril,Avril à septembre,Mai à juin,Juillet à septembre,Septembre à octobre,,Persistant,Angiosperme,Magnoliopsida,Lamiales,Oleaceae,Ligustrum,Arbuste,2 à 4 mètres,Simple,Ovale,Entier,Opposé,Blanc,Petites fleurs en panicules,Drupe,Fasciculé,"['- Ornemental: Utilisé pour les haies et les bordures en raison de son feuillage persistant et de sa croissance dense.', '- Écologique: Fournit un habitat pour les oiseaux et les insectes.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:610001-1,Photo prise à l'ENS le 19/03/2025
espèce33,Euonymus fortunei,Fusain de Fortune,Ang_Mag_Cel_Euo,,,"['Chine', 'Corée', 'Japon']",Mars à Avril,Avril à Septembre,Juin à Juillet,Août à Octobre,Octobre à Novembre,Persistant,Persistant,Angiosperme,Magnoliopsida,Celastrales,Celastraceae,Euonymus,Arbuste,0.5 à 3 mètres,Simple,Ovale à elliptique,Denté,Opposé,Vert pâle,Petites fleurs en cymes,Capsule,Fasciculé,"['- Ornemental: Utilisé pour la couverture du sol, les haies et les bordures en raison de son feuillage persistant et de sa capacité à grimper.', '- Écologique: Fournit un habitat pour la faune et contribue à la biodiversité dans les jardins.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:160893-1,Photo prise à l'ENS le 19/03/2025
espèce34,Syagrus romanzoffiana,Palmier de la reine,Ang_Lil_Are_Sya,,,"['Brésil', 'Argentine', 'Paraguay', 'Uruguay']",,Printemps à été,Été,Automne,Hiver,,Persistant,Angiosperme,Liliopsida,Arecales,Arecaceae,Syagrus,Arbre,Jusqu'à 15 mètres,Pinné,Lancéolé,Entier,Rosette,Blanc crème,Inflorescence en panicule,Drupe,Fasciculé,"['- Ornemental: Utilisé dans les jardins et les parcs pour son aspect esthétique et sa résistance aux conditions urbaines.', '- Écologique: Fournit un habitat et une source de nourriture pour la faune locale, notamment les oiseaux.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:246966-2,Photo prise à l'ENS le 19/03/2025
espèce35,Rosa × odorata,Rosier odorant,Ang_Mag_Ros_Ros,,,['Chine'],Mars à avril,Avril à septembre,Mai à octobre,Août à novembre,Septembre à novembre,Novembre à décembre,Caduc,Angiosperme,Magnoliopsida,Rosales,Rosaceae,Rosa,Arbuste,1 à 2 mètres,Composées,Ovale,Dentelé,Alternée,"Rose, blanc, jaune",Simple à double,Cynorrhodon,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour ses fleurs parfumées et sa longue période de floraison.', '- Médicinal: Les cynorrhodons sont parfois utilisés en phytothérapie pour leurs propriétés antioxydantes.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:733521-1,Photo prise à l'ENS le 19/03/2025
espèce36,Rosa × odorata,Rosier odorant,Ang_Mag_Ros_Ros,,,['Chine'],Mars à avril,Avril à septembre,Mai à octobre,Août à novembre,Septembre à novembre,Novembre à décembre,Caduc,Angiosperme,Magnoliopsida,Rosales,Rosaceae,Rosa,Arbuste,1 à 2 mètres,Composées,Ovale,Denté,Alternée,"Rose, blanc, jaune",Simple à double,Cynorhodon,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour ses fleurs parfumées et sa longue période de floraison.', '- Médicinal: Les cynorhodons sont parfois utilisés en phytothérapie pour leurs propriétés antioxydantes.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:733521-1,Photo prise à l'ENS le 19/03/2025
espèce37,Yucca gigantea,Yucca géant,Ang_Lil_Asp_Yuc,,,"['Mexique', 'Amérique centrale']",,Printemps à été,Été,,,,Persistant,Angiosperme,Liliopsida,Asparagales,Asparagaceae,Yucca,Arbre,Jusqu'à 10 mètres,Simple,Lancéolée,Entier,Rosette,Blanc,Inflorescence en panicule,Capsule,Fasciculée,"['- Ornemental: Utilisé dans les jardins et les aménagements paysagers pour son apparence exotique et sa résistance à la sécheresse.', '- Écologique: Peut être utilisé pour la stabilisation des sols dans les régions arides.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:543700-1,Photo prise à l'ENS le 19/03/2025
espèce38,Platycladus orientalis,Thuya de Chine,Gym_Pin_Cup_Pla,صنوبر شرقي,,"['Chine', 'Corée', 'Japon', 'Russie (Extrême-Orient)']",Mars à avril,Avril à septembre,Avril à mai,Août à octobre,Octobre à novembre,,Persistant,Gymnosperme,Pinopsida,Pinales,Cupressaceae,Platycladus,Arbre,10 à 20 mètres,Aiguilles,Écaille,Entier,Opposé,Non applicable (conifère),Cônes mâles et femelles distincts,Cône,Pivotante,"['- Ornemental: Utilisé dans les jardins et parcs pour sa forme conique et son feuillage persistant.', '- Écologique: Peut être utilisé pour la stabilisation des sols et comme brise-vent.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:677124-1,Photo prise à l'ENS le 19/03/2025
espèce39,Cestrum nocturnum,Jasmin de nuit,Ang_Mag_Sol_Ces,,,"['Amérique centrale', 'Caraïbes']",Mars-Avril,Printemps-Été,Été,Automne,Fin Automne,Persistant,Persistant,Angiosperme,Magnoliopsida,Solanales,Solanaceae,Cestrum,Arbuste,2-4 mètres,Simple,Lancéolée,Entier,Alternée,Blanc crème,Tubulaire,Baie,Fasciculée,"['- Ornemental: Utilisé pour ses fleurs parfumées qui embaument les jardins la nuit.', '- Écologique: Attire les pollinisateurs nocturnes tels que les papillons de nuit.']",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:316386-2,Photo prise à l'ENS le 19/03/2025
